Date,"Transactions (( Dollar ))","Rate "" Bank """,Ads spending,,,,,,,,,,,,,,
2025-03-20,0,50.27,0 ,,,,,,,,,,,,,,
2025-03-21,0,50.27,0 ,,,,,,,,,,,,,,
2025-03-22,0,50.27,0 ,,,,,,,,,,,,,,
2025-03-23,5.21,50.27,262 ,,,,,,,,,,,,,,
2025-03-24,1072.8,50.62,"54,305 ",,,,,,,,,,,,,,
2025-03-25,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-26,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-27,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-28,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-29,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-30,352.47,50.57,"17,824 ",,,,,,,,,,,,,,
2025-03-31,13.84,50.57,700 ,,,,,,,,,,,,,,
2025-04-01,186.01,50.57,"9,407 ",,,,,,,,,,,,,,
2025-04-02,1237.58,50.57,"62,584 ",,,,,,,,,,,,,,
2025-04-03,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-04,1072.12,50.57,"54,217 ",,,,,,,,,,,,,,
2025-04-05,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-06,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-07,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-08,368.87,50.57,"18,654 ",,,,,,,,,,,,,,
2025-04-09,946.68,50.57,"47,874 ",,,,,,,,,,,,,,
2025-04-10,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-11,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-12,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-13,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-14,1056.56,50.57,"53,430 ",,,,,,,,,,,,,,
2025-04-15,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-16,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-17,1287.63,50.57,"65,115 ",,,,,,,,,,,,,,
2025-04-18,10.3,50.57,521 ,,,,,,,,,,,,,,
2025-04-19,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-20,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-21,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-22,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-23,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-24,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-25,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-26,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-27,1171.13,50.57,"59,224 ",,,,,,,,,,,,,,
2025-04-28,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-29,0,50.57,0 ,,,,,,,,,,,,,,
2025-04-30,0,50.57,0 ,,,,,,,,,,,,,,
